name,prefix,subscription,team,service_area,region,resource_type,instance_number
syy-az-networking-ntwrk-vwan-centralus-rg-01,syy-az,networking,ntwrk,vwan,centralus,rg,1
syy-az-networking-ntwrk-vwan-eastus2-rg-01,syy-az,networking,ntwrk,vwan,eastus2,rg,1
syy-az-networking-ntwrk-vnet-centralus-rg-01,syy-az,networking,ntwrk,vnet,centralus,rg,1
syy-az-networking-ntwrk-vnet-centralus-rg-02,syy-az,networking,ntwrk,vnet,centralus,rg,2
syy-az-networking-ntwrk-vnet-eastus2-rg-01,syy-az,networking,ntwrk,vnet,eastus2,rg,1
syy-az-networking-ntwrk-vnet-eastus2-rg-02,syy-az,networking,ntwrk,vnet,eastus2,rg,2
syy-az-networking-mgmt-st-centralus-rg-01,syy-az,networking,mgmt,st,centralus,rg,1
syy-az-networking-mgmt-st-eastus2-rg-01,syy-az,networking,mgmt,st,eastus2,rg,1
syy-az-networking-mgmt-la-centralus-rg-01,syy-az,networking,mgmt,la,centralus,rg,1
syy-az-networking-mgmt-la-eastus2-rg-01,syy-az,networking,mgmt,la,eastus2,rg,1
syy-az-networking-mgmt-rsv-centralus-rg-01,syy-az,networking,mgmt,rsv,centralus,rg,1
syy-az-networking-mgmt-rsv-eastus2-rg-01,syy-az,networking,mgmt,rsv,eastus2,rg,1
syy-az-sharedservices-ntwrk-vnet-centralus-rg-01,syy-az,sharedservices,ntwrk,vnet,centralus,rg,1
syy-az-sharedservices-ntwrk-vnet-eastus2-rg-01,syy-az,sharedservices,ntwrk,vnet,eastus2,rg,1
syy-az-sharedservices-mgmt-st-centralus-rg-01,syy-az,sharedservices,mgmt,st,centralus,rg,1
syy-az-sharedservices-mgmt-st-eastus2-rg-01,syy-az,sharedservices,mgmt,st,eastus2,rg,1
syy-az-sharedservices-mgmt-la-centralus-rg-01,syy-az,sharedservices,mgmt,la,centralus,rg,1
syy-az-sharedservices-mgmt-la-eastus2-rg-01,syy-az,sharedservices,mgmt,la,eastus2,rg,1
syy-az-sharedservices-mgmt-rsv-centralus-rg-01,syy-az,sharedservices,mgmt,rsv,centralus,rg,1
syy-az-sharedservices-mgmt-rsv-eastus2-rg-01,syy-az,sharedservices,mgmt,rsv,eastus2,rg,1
